,Token Name,Token Symbol,Title,Percent
10,Rally,RLY,"['Network Usage Rewards', 'Treasury / Developers / Partners / Liquidity Providers', 'Seed', 'Team']","[50, 20.4, 15.3, 14.3]"
17,Anchor Protocol,ANC,"['Investors', 'Team', 'LUNA Staking Airdrop', 'LUNA Staking Rewards', 'Borrower Incentives', 'ANC LP Staking Rewards', 'Community Fund']","[20, 10, 5, 10, 40, 5, 10]"
19,Kava,KAVA,"['Mining Reward', 'Team', 'Foundation', 'Private Round', 'Seed Round', 'Launchpad Sale', 'Marketing & Ecosystem', 'Advisors']","[25, 18.3, 17, 15.5, 11.5, 6, 5, 1.7]"
25,Persistence,XPRT,"['Marketing & Growth', 'Ecosystem Development & Growth', 'Team', 'Seed & Private Sale', 'Validator Incentivization', 'Validators & Strategic Sale', 'Advisors', 'Public Sale']","[25.6, 19.4, 16, 14, 10, 10, 4, 1]"
32,Oxygen,OXY,"['Product & Tech Growth', 'Team', 'Private Sale', 'Partners', 'IEO', 'Community Fund', 'Serum Ecosystem Incentives', 'Maps Ecosystem Incentives']","[25, 10, 10, 8, 2, 20, 15, 10]"
39,Ampleforth,AMPL,"['Ecosystem', 'Treasury', 'Team', 'Future Employee & Advisors Pool', 'Advisors', 'Seed', 'Private (Series A)', 'Public Sale(IEO)']","[20, 23, 17, 6, 4, 19, 3, 10]"
43,Band Protocol,BAND,"['Advisors', 'Launchpad Sale', 'Private Sale', 'Seed Round', 'Ecosystem', 'Foundation', 'Team']","[5, 12.37, 5, 10, 25.63, 22, 22]"
50,Qredo,QRDO,"['Private Sale', 'Public Sale', 'Team', 'Advisors', 'Ordinary', 'Seed', 'Distribution', 'Validators', 'Ecosystem', 'Treasury / Reserve']","[7.216, 4, 22, 3.7, 13, 21.3, 10, 4, 11, 3.784]"
54,Clover,CLV,"['Contributors Grant', 'Foundation', 'Ecosystem Incentives & Parachain Offering', 'Coinlist Sale', 'Private Sale', 'Early Backers', 'Team', 'Marketing']","[3, 12, 40, 15, 2.5, 10, 10, 7.5]"
59,BENQI,QI,"['Exchange Liquidity', 'Public B', 'Seed Round', 'Public A', 'Team', 'Private', 'Treasury', 'Liquidity Mining']","[1, 1.7, 5, 5.3, 10, 13, 14, 50]"
66,Beta Finance,BETA,"['Binance Launchpad Sale', 'Seed Sale', 'Strategic Sale', 'Alpha Finance Launchpad', 'Team & Advisors', 'Ecosystem Growth', 'Liquidity Mining']","[5, 10, 5, 5, 20, 35, 20]"
69,Orca,ORCA,"['Community, liquidity, incentives, airdrop', 'Team', 'Fundraising', 'Advisors']","[66.1, 20, 13, 0.9]"
70,Boson Protocol,BOSON,"['Network Rewards / Foundation', 'Founders & Team', 'SAFE & SAFT Private Sale', 'Early Investors', 'Advisors', 'Pre Sale', 'Public Sale']","[43.4, 23, 11.5, 7, 5, 5.1, 3]"
73,XCAD Network,XCAD,"['Team', 'Seed Round', 'Ecosystem', 'Liquidity ', 'Partnership & Advisors', 'Pre-Seed Round', 'Foundation Reserve']","[10, 18.45, 20, 20, 8, 2.28, 21.28]"
76,Ethernity Chain,ERN,"['Reserves', 'Staking / Farming Rewards', 'Private Sale', 'Public Sale', 'Floating Liquidity', 'Team & Advisors', 'Partnerships', 'Ecosystem Expancion']","[15, 12, 30.6, 3.33, 5, 20, 8, 6]"
77,VelasPad,VLXPAD,"['Public sale', 'Liquidity', 'Ecosystem', 'Team', 'Advisors', 'Reserve', 'Staking', 'Private sale', 'Airdrop']","[7.2, 15, 17, 12, 6, 6, 16, 20, 0.8]"
84,PAID Network,PAID,"['General reserve', 'Private sale', 'Public sale', 'Staking rewards', 'Advisors', 'Team', 'Ecosystem', 'Research foundation', 'Exchagne and market making']","[9, 14, 1, 10, 5, 15, 25, 20, 1]"
86,Opulous,OPUL,"['Seed Sale', 'Strategic Sale', 'Private Sale ', 'Private Sale 2', 'SEED SHO (Round 1)', 'SEED SHO (Round 2)', 'Team', 'Advisors & Partners', 'Liquidity Pool', 'Ecosystem', 'Foundation Reserve']","[10, 4.4, 4.9, 1.4, 3.6, 0.8, 12.5, 5, 17.5, 17.5, 17.7]"
87,ADAPad,ADAPAD,"['Team', 'Advisors', 'Liquidity', 'Ecosystem', 'Reserve', 'Staking rewards', 'Private sale', 'BSCPAD IDO', 'ETHPAD IDO', 'TronPad IDO', 'KCCPAD IDO', 'Airdrop']","[12, 6, 15, 16, 5, 15.5, 19, 3, 3, 2.5, 2.5, 1]"
114,Akropolis,AKRO,"['Token sale', 'Advisor', 'Market Development', 'Team', 'Reserve Fund']","[40, 10, 10, 20, 20]"
116,Jet Protocol,JET,"['Seed investors', 'Team & Advisors', 'Liquidity', 'Discretionary fund', 'Ecosystem fund']","[15, 25, 6, 28.53, 25.47]"
136,Clearpool,CPOOL,"['Token sales', 'Team', 'Partnerships', 'Pool Rewards', 'Ecosystem', 'Liquidity', 'Reserves']","[12.83, 15, 10, 20, 10, 15, 17.17]"
138,Unifi Protocol DAO,UNFI,"['Binance Launchpool', 'Seed Sale', 'Private Sale', 'Team', 'Ecosystem Support', 'Binance Smart Chain Ecosystem', 'Community Development']","[4, 6.5, 12, 15, 10.5, 1, 51]"
140,Umbrella Network,UMB,"['Future sales', 'Development fund', 'Founding team', 'Early contributors', 'Rewards', 'Node fund', 'Partner fund', 'Rewards ', 'Marketing/Airdrops', 'AMM']","[5, 10, 10, 15, 1, 10, 10, 33, 5, 1]"
148,Poolz,POOLZ,"['Swapping Rewards', 'Reserve', 'Liquidity Fund', 'Staking', 'Private & Public Sale', 'Team', 'Advisors']","[16, 12, 2, 16, 44, 7.5, 2.5]"
151,Polkadex,PDEX,"['Founders and team', 'Seed Round', 'Strategic round', 'Private round', 'Treasury', 'Liquidity Mining', 'Advisors', 'Marketing, Ecosystem and Partnerships', 'Community Round']","[9, 7, 8, 10.193, 41, 10, 5, 6.807, 2]"
152,PulsePad,PLSPAD,"['Team', 'Advisors', 'Liquidity ', 'Ecosystem', 'Reserve', 'Staking / Rewards', 'Private sale', 'Public sale', 'Airdrop']","[15, 7, 12, 12, 5, 14, 20, 14, 1]"
161,Infinity Pad,IPAD,"['Private Sale', 'Public Sale', 'Client Incentives', 'Long Time Airdrop', 'Managment Team', 'Liquidity']","[30, 5, 5, 20, 10, 30]"
162,NAOS Finance,NAOS,"['Private / Public Raise', 'Team / Advisor', 'Ecosystem Fund', 'Liquidity Incentive']","[22, 23, 25, 30]"
163,MonoX Protocol,MONO,"['Seed', 'Strategic', 'Private/Pre-Sale', 'Initial Liquidity', 'Marketing and Ecosystem', 'Partnership & Advisors', 'Team', 'Treasury Reserve', 'Token Emissions']","[8, 7, 8, 3, 4, 6, 11, 11, 42]"
166,Thorstarter,XRUNE,"['Operational Treasury', 'Community Treasury', 'Ecosystem Fund', 'Protocol Emissions']","[14, 7.5, 27.5, 50]"
172,Don-key,DON,"['Seed', 'Private A', 'Private B', 'Public', 'LP / Farming', 'Liquidty', 'Marketing', 'Dev Pool', 'Team', 'Advisors', 'Reserve']","[5, 15, 8.5, 1.5, 20, 5, 10, 10, 10, 10, 5]"
175,Solend,SLND,"['Liquidity Mining', 'IDO', 'Treasury', 'Team', 'Seed', 'Future strategic rounds']","[30, 5, 25, 25, 10, 5]"
177,Refinable,FINE,"['Token Sale', 'Community Mining', 'Liquidity Fund', 'Team', 'Treasury Fund', 'By Proposal']","[20, 20, 5, 10, 35, 10]"
180,Manifold Finance,FOLD,"['Private sale', 'MISO sale', 'Liquidity', 'Foundation', 'Ecosystem / Miner incentives']","[50, 2.5, 3, 20, 24.5]"
184,Convergence Finance,CONV,"['Seed Sale', 'Strategic Sale', 'Public Sale', 'Team', 'Advisors', 'Liquidity', 'Ecosystem', 'Community', 'Reserve']","[4, 10.4, 0.6, 10, 5, 10, 40, 10, 9]"
190,Bifrost,BFC,"['Public Sale', 'Private Sale', 'Marketing', 'Ecosystem', 'Reserve', 'Advisors', 'Team']","[0.6, 25, 10.4, 20, 20, 4, 20]"
192,Parrot Protocol,PRT,"['Protocol Incentives', 'Ecosystem & Partnerships', 'Public sale', 'Team & Angels', 'Seed', 'Protocol Controlled Reserve']","[35, 10, 10, 20, 20, 5]"
198,NFTb,NFTB,"['Strategic Contributors', 'Team', 'Foundation', 'Protocol Rewards', 'IDO / Liquidity Mining']","[20.5, 12, 12.5, 45, 10]"
215,Sienna Network,SIENNA,"['Minting Pool', 'Advisors', 'Private Round', 'Development Fund', 'Founders', 'Public Round']","[39, 2, 20, 13, 24, 2]"
216,Jigstack,STAK,"['Seed Round', 'Private Sale I', 'Private Sale II', 'LP Incentives', 'Treasury', 'Public Sale', 'Advisors', 'Team', 'Ops', 'Series B', 'Marketing']","[10, 12.3, 7.5, 3.2, 20, 2, 10, 10, 9, 10, 5]"
217,Charged Particles,IONX,"['Team & Advisors', 'Foundation', 'IDO', 'Pre-Seed', 'Seed ', 'Airdrop', 'Rewards', 'Reserve']","[23, 7, 1, 15, 5, 3, 30, 16]"
218,Ardana,DANA,"['Token sale', 'Listing Liquidity', 'Team & Advisors', 'Ecosystem', 'Liquidity mining rewards']","[28.5, 5, 15, 11.5, 40]"
221,Strips Finance,STRP,"['Seed investors', 'Team', 'Treasury', 'Community', 'Public IDO', 'Advisors', 'Private round']","[10, 15, 15, 47, 1, 2, 10]"
222,Port Finance,PORT,"['Initial liquidity ', 'Fundraising', 'Team', 'Advisors', 'Ecosystem ', 'Liquidity incentives ']","[4, 10, 20, 2, 33, 31]"
224,ETHPad,ETHPAD,"['Team', 'Advisors', 'Liquidity', 'Ecosystem', 'Reserve', 'Staking / Rewards', 'Private sale', 'BSCPad Public', 'TronPad Public', 'Airdrop']","[11, 6, 10, 9, 3, 9, 22, 5, 5, 20]"
227,Vent Finance,VENT,"['Seed Round', 'Private Round A', 'Private Round A', 'Public Sale', 'Ecosystem Growth', 'Liquidity', 'Advisor & Partnerships', 'Founding Team']","[6, 8, 3, 5.31, 30, 13.19, 10, 20]"
229,Synthetify,SNY,"['Private sale', 'Team', 'Ecosystem Reserves', 'Exchange Liquidity', 'IEO/IDO', 'Ecosystem Incentivised Fund', 'Liquidity Mining', 'Synthetify Debt Pool']","[6, 20, 30, 2.4, 1, 20, 10.6, 10]"
236,Dfyn,DFYN,"['Reward Pool', 'Ecosystem Fund', 'Partnership & Advisors', 'NFT Airdrops', 'Liquidity Provision Fund', 'Team', 'Seed Round', 'Private Round', 'Public Round']","[30, 17.45, 15, 2.25, 4, 15, 7.5, 7.5, 1.3]"
238,BSC Station,BSCS,"['Seed Sale', 'Private Sale', 'IDO', 'Farming / Staking Reward', 'Team', 'Marketing', 'Advisor & Partnership', 'Liquidity', 'Ecosystem ']","[12, 25, 1.6, 12, 15, 8.4, 5, 10, 11]"
244,Unmarshal,MARSH,"['Seed', 'Private', 'Public', 'Staking Rewards ', 'Ecosystem', 'Marketing ', 'Reserves', 'Team']","[5, 12, 1.2, 20, 25, 6.8, 10, 20]"
246,Konomi Network,KONO,"['Team & Advisors', 'Token Sale', 'Marketing', 'Ecosystem', 'Platform Incentive', 'Reserve ']","[15, 20.5, 18, 16.5, 16.5, 15]"
247,MoonStarter,MNST,"['Liquidity & MM', 'Seed', 'Private A', 'Private B', 'IDO', 'Team', 'Marketing', 'Advisors', 'R&D']","[7.1, 15.6, 17.5, 16.7, 2.5, 12, 12.5, 4.1, 12]"
248,Hord,HORD,"['Seed', 'Participation', 'DEX Liquidity + Staking Rewards', 'Long Term Development Fund', 'Team+ Advisor + Foundation', 'Locked Sale']","[12.5, 25, 10, 10, 30, 12.5]"
252,Unido,UDO,"['Reserve', 'Liquidity', 'Ecosystem fund', 'Advisors', 'Team', 'Private Sale', 'Seed ']","[28, 8, 12, 9, 16, 14, 13]"
261,DAFI Protocol,DAFI,"['Treasury', 'Ecosystem Reserve', 'Team', 'Staking', 'Marketing', 'Advisors', 'Private Sale', 'Strategic Round', 'Public Sale']","[12.12, 11, 15, 20, 10, 5, 22.5, 2.38, 2]"
267,Infinite Launch,ILA,"['Seed', 'Private/Pre-Sale', 'Public Sale', 'Liquidity', 'Team', 'Staking & NFT incentives', 'Marketing', 'Development', 'Advisors & Big Artists']","[12, 14.5, 1, 4, 5, 25, 16.5, 17, 5]"
